chr	start	stop	ATpct	GCpct
Chr1A_a	0	2000000	0.539935	0.459866
Chr1A_a	2000000	4000000	0.545912	0.454038
Chr1A_a	4000000	6000000	0.555846	0.444154
Chr1A_a	6000000	8000000	0.542499	0.457402
Chr1A_a	8000000	10000000	0.545801	0.454149
Chr1A_a	10000000	12000000	0.532573	0.467427
Chr1A_a	12000000	14000000	0.533888	0.466062
Chr1A_a	14000000	16000000	0.547507	0.452444
Chr1A_a	16000000	18000000	0.539967	0.460032
Chr1A_a	18000000	20000000	0.535961	0.464039
Chr1A_a	20000000	22000000	0.539926	0.460074
Chr1A_a	22000000	24000000	0.536938	0.463062
Chr1A_a	24000000	26000000	0.544379	0.455621
Chr1A_a	26000000	28000000	0.540780	0.459220
Chr1A_a	28000000	30000000	0.538610	0.461390
Chr1A_a	30000000	32000000	0.540608	0.459392
Chr1A_a	32000000	34000000	0.533001	0.467000
Chr1A_a	34000000	36000000	0.533628	0.466323
Chr1A_a	36000000	38000000	0.524628	0.475372
Chr1A_a	38000000	40000000	0.548428	0.451572
Chr1A_a	40000000	42000000	0.537739	0.462261
Chr1A_a	42000000	44000000	0.537272	0.462728
Chr1A_a	44000000	46000000	0.529750	0.470250
Chr1A_a	46000000	48000000	0.545878	0.454123
Chr1A_a	48000000	50000000	0.550975	0.449025
Chr1A_a	50000000	52000000	0.539465	0.460535
Chr1A_a	52000000	54000000	0.544644	0.455355
Chr1A_a	54000000	56000000	0.542042	0.457958
Chr1A_a	56000000	58000000	0.532763	0.467236
Chr1A_a	58000000	60000000	0.557731	0.442269
Chr1A_a	60000000	62000000	0.538274	0.461726
Chr1A_a	62000000	64000000	0.544532	0.455467
Chr1A_a	64000000	66000000	0.544060	0.455940
Chr1A_a	66000000	68000000	0.554451	0.445549
Chr1A_a	68000000	70000000	0.547067	0.452933
Chr1A_a	70000000	72000000	0.552555	0.447445
Chr1A_a	72000000	74000000	0.557627	0.442373
Chr1A_a	74000000	76000000	0.545680	0.454320
Chr1A_a	76000000	78000000	0.555826	0.444174
Chr1A_a	78000000	80000000	0.550130	0.449870
Chr1A_a	80000000	82000000	0.587020	0.412980
Chr1A_a	82000000	84000000	0.571284	0.428716
Chr1A_a	84000000	86000000	0.531224	0.468776
Chr1A_a	86000000	88000000	0.555951	0.444049
Chr1A_a	88000000	90000000	0.555932	0.444068
Chr1A_a	90000000	92000000	0.559560	0.440441
Chr1A_a	92000000	94000000	0.541538	0.458461
Chr1A_a	94000000	96000000	0.548362	0.451638
Chr1A_a	96000000	98000000	0.533298	0.466702
Chr1A_a	98000000	100000000	0.531847	0.468154
Chr1A_a	100000000	102000000	0.548436	0.451564
Chr1A_a	102000000	104000000	0.539541	0.460460
Chr1A_a	104000000	106000000	0.557149	0.442852
Chr1A_a	106000000	108000000	0.564748	0.435252
Chr1A_a	108000000	110000000	0.563248	0.436752
Chr1A_a	110000000	112000000	0.553895	0.446106
Chr1A_a	112000000	114000000	0.553678	0.446322
Chr1A_a	114000000	116000000	0.548129	0.451871
Chr1A_a	116000000	118000000	0.547353	0.452647
Chr1A_a	118000000	120000000	0.549466	0.450534
Chr1A_a	120000000	122000000	0.543786	0.456214
Chr1A_a	122000000	124000000	0.557567	0.442434
Chr1A_a	124000000	126000000	0.542533	0.457467
Chr1A_a	126000000	128000000	0.532800	0.467200
Chr1A_a	128000000	130000000	0.551006	0.448994
Chr1A_a	130000000	132000000	0.558078	0.441922
Chr1A_a	132000000	134000000	0.563870	0.436130
Chr1A_a	134000000	136000000	0.518095	0.481905
Chr1A_a	136000000	138000000	0.510342	0.489657
Chr1A_a	138000000	140000000	0.541607	0.458393
Chr1A_a	140000000	142000000	0.556695	0.443305
Chr1A_a	142000000	144000000	0.544997	0.455003
Chr1A_a	144000000	146000000	0.549945	0.450055
Chr1A_a	146000000	148000000	0.545168	0.454832
Chr1A_a	148000000	150000000	0.539530	0.460470
Chr1A_a	150000000	152000000	0.548675	0.451326
Chr1A_a	152000000	154000000	0.555986	0.444014
Chr1A_a	154000000	156000000	0.543396	0.456603
Chr1A_a	156000000	158000000	0.553588	0.446412
Chr1A_a	158000000	160000000	0.546031	0.453969
Chr1A_a	160000000	162000000	0.526627	0.473373
Chr1A_a	162000000	164000000	0.541696	0.458304
Chr1A_a	164000000	166000000	0.543194	0.456807
Chr1A_a	166000000	168000000	0.554236	0.445765
Chr1A_a	168000000	170000000	0.559164	0.440836
Chr1A_a	170000000	172000000	0.560330	0.439670
Chr1A_a	172000000	174000000	0.546170	0.453831
Chr1A_a	174000000	176000000	0.562239	0.437761
Chr1A_a	176000000	178000000	0.542916	0.457084
Chr1A_a	178000000	180000000	0.542852	0.457148
Chr1A_a	180000000	182000000	0.544331	0.455669
Chr1A_a	182000000	184000000	0.544784	0.455216
Chr1A_a	184000000	186000000	0.547827	0.452172
Chr1A_a	186000000	188000000	0.598881	0.401118
Chr1A_a	188000000	190000000	0.538396	0.461604
Chr1A_a	190000000	192000000	0.545839	0.454161
Chr1A_a	192000000	194000000	0.548536	0.451463
Chr1A_a	194000000	196000000	0.551844	0.448157
Chr1A_a	196000000	198000000	0.551832	0.448168
Chr1A_a	198000000	200000000	0.550732	0.449268
Chr1A_a	200000000	202000000	0.544554	0.455445
Chr1A_a	202000000	204000000	0.555381	0.444620
Chr1A_a	204000000	206000000	0.544397	0.455602
Chr1A_a	206000000	208000000	0.546936	0.453064
Chr1A_a	208000000	210000000	0.542761	0.457239
Chr1A_a	210000000	212000000	0.542961	0.457039
Chr1A_a	212000000	214000000	0.559997	0.440003
Chr1A_a	214000000	216000000	0.546196	0.453804
Chr1A_a	216000000	218000000	0.528610	0.471390
Chr1A_a	218000000	220000000	0.516706	0.483294
Chr1A_a	220000000	222000000	0.520745	0.479255
Chr1A_a	222000000	224000000	0.544195	0.455804
Chr1A_a	224000000	226000000	0.548069	0.451931
Chr1A_a	226000000	228000000	0.537264	0.462736
Chr1A_a	228000000	230000000	0.546290	0.453710
Chr1A_a	230000000	232000000	0.562276	0.437723
Chr1A_a	232000000	234000000	0.549088	0.450912
Chr1A_a	234000000	236000000	0.543297	0.456704
Chr1A_a	236000000	238000000	0.541035	0.458966
Chr1A_a	238000000	240000000	0.538885	0.461115
Chr1A_a	240000000	242000000	0.540933	0.459067
Chr1A_a	242000000	244000000	0.546203	0.453797
Chr1A_a	244000000	246000000	0.545132	0.454868
Chr1A_a	246000000	248000000	0.543410	0.456591
Chr1A_a	248000000	250000000	0.546952	0.453048
Chr1A_a	250000000	252000000	0.532514	0.467486
Chr1A_a	252000000	254000000	0.533332	0.466668
Chr1A_a	254000000	256000000	0.543465	0.456535
Chr1A_a	256000000	258000000	0.533279	0.466721
Chr1A_a	258000000	260000000	0.538652	0.461347
Chr1A_a	260000000	262000000	0.545379	0.454621
Chr1A_a	262000000	264000000	0.540995	0.459005
Chr1A_a	264000000	266000000	0.530262	0.469738
Chr1A_a	266000000	268000000	0.529473	0.470526
Chr1A_a	268000000	270000000	0.540322	0.459679
Chr1A_a	270000000	272000000	0.535707	0.464293
Chr1A_a	272000000	274000000	0.546516	0.453483
Chr1A_a	274000000	276000000	0.541221	0.458779
Chr1A_a	276000000	278000000	0.539630	0.460371
Chr1A_a	278000000	280000000	0.540614	0.459386
Chr1A_a	280000000	282000000	0.540770	0.459231
Chr1A_a	282000000	284000000	0.533787	0.466213
Chr1A_a	284000000	286000000	0.545555	0.454444
Chr1A_a	286000000	288000000	0.529999	0.470001
Chr1A_a	288000000	290000000	0.543172	0.456828
Chr1A_a	290000000	292000000	0.543401	0.456600
Chr1A_a	292000000	294000000	0.542803	0.457197
Chr1A_a	294000000	296000000	0.540267	0.459733
Chr1A_a	296000000	298000000	0.544132	0.455867
Chr1A_a	298000000	300000000	0.540380	0.459619
Chr1A_a	300000000	302000000	0.545974	0.454026
Chr1A_a	302000000	304000000	0.538639	0.461361
Chr1A_a	304000000	306000000	0.534760	0.465241
Chr1A_a	306000000	308000000	0.529665	0.470336
Chr1A_a	308000000	310000000	0.548328	0.451672
Chr1A_a	310000000	312000000	0.545712	0.454287
Chr1A_a	312000000	314000000	0.540632	0.459368
Chr1A_a	314000000	316000000	0.543198	0.456802
Chr1A_a	316000000	318000000	0.544283	0.455717
Chr1A_a	318000000	320000000	0.542747	0.457253
Chr1A_a	320000000	320692588	0.536784	0.463072
Chr2A_a	0	2000000	0.538373	0.461527
