#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc
Chr1A_a	0	500000	0.555206	0.444794
Chr1A_a	500000	1000000	0.538796	0.461004
Chr1A_a	1000000	1500000	0.532316	0.467284
Chr1A_a	1500000	2000000	0.533420	0.466380
Chr1A_a	2000000	2500000	0.553022	0.446778
Chr1A_a	2500000	3000000	0.549152	0.450848
Chr1A_a	3000000	3500000	0.536792	0.463208
Chr1A_a	3500000	4000000	0.544682	0.455318
Chr1A_a	4000000	4500000	0.556842	0.443158
Chr1A_a	4500000	5000000	0.551974	0.448026
Chr1A_a	5000000	5500000	0.556280	0.443720
Chr1A_a	5500000	6000000	0.558288	0.441712
Chr1A_a	6000000	6500000	0.552516	0.447484
Chr1A_a	6500000	7000000	0.549830	0.450170
Chr1A_a	7000000	7500000	0.533242	0.466558
Chr1A_a	7500000	8000000	0.534406	0.465394
Chr1A_a	8000000	8500000	0.539396	0.460604
Chr1A_a	8500000	9000000	0.540900	0.458900
Chr1A_a	9000000	9500000	0.553210	0.446790
Chr1A_a	9500000	10000000	0.549698	0.450302
Chr1A_a	10000000	10500000	0.537930	0.462070
Chr1A_a	10500000	11000000	0.532972	0.467028
Chr1A_a	11000000	11500000	0.526728	0.473272
Chr1A_a	11500000	12000000	0.532660	0.467340
Chr1A_a	12000000	12500000	0.530196	0.469804
Chr1A_a	12500000	13000000	0.549800	0.450200
Chr1A_a	13000000	13500000	0.541960	0.458040
Chr1A_a	13500000	14000000	0.513594	0.486206
Chr1A_a	14000000	14500000	0.549070	0.450730
Chr1A_a	14500000	15000000	0.547132	0.452868
Chr1A_a	15000000	15500000	0.549400	0.450600
Chr1A_a	15500000	16000000	0.544424	0.455576
Chr1A_a	16000000	16500000	0.543260	0.456740
Chr1A_a	16500000	17000000	0.524224	0.475776
Chr1A_a	17000000	17500000	0.546870	0.453130
Chr1A_a	17500000	18000000	0.545516	0.454484
Chr1A_a	18000000	18500000	0.533652	0.466348
Chr1A_a	18500000	19000000	0.545484	0.454516
Chr1A_a	19000000	19500000	0.530010	0.469990
Chr1A_a	19500000	20000000	0.534698	0.465302
Chr1A_a	20000000	20500000	0.531474	0.468526
Chr1A_a	20500000	21000000	0.536078	0.463922
Chr1A_a	21000000	21500000	0.540582	0.459418
Chr1A_a	21500000	22000000	0.551570	0.448430
Chr1A_a	22000000	22500000	0.533798	0.466202
Chr1A_a	22500000	23000000	0.528804	0.471196
Chr1A_a	23000000	23500000	0.535728	0.464272
Chr1A_a	23500000	24000000	0.549424	0.450576
Chr1A_a	24000000	24500000	0.542954	0.457046
Chr1A_a	24500000	25000000	0.546218	0.453782
Chr1A_a	25000000	25500000	0.538734	0.461266
Chr1A_a	25500000	26000000	0.549610	0.450390
Chr1A_a	26000000	26500000	0.538502	0.461498
Chr1A_a	26500000	27000000	0.545438	0.454562
Chr1A_a	27000000	27500000	0.551866	0.448134
Chr1A_a	27500000	28000000	0.527314	0.472686
Chr1A_a	28000000	28500000	0.535738	0.464262
Chr1A_a	28500000	29000000	0.536280	0.463720
Chr1A_a	29000000	29500000	0.543652	0.456348
Chr1A_a	29500000	30000000	0.538768	0.461232
Chr1A_a	30000000	30500000	0.536750	0.463250
Chr1A_a	30500000	31000000	0.530372	0.469628
Chr1A_a	31000000	31500000	0.541894	0.458106
Chr1A_a	31500000	32000000	0.553414	0.446586
Chr1A_a	32000000	32500000	0.537190	0.462810
Chr1A_a	32500000	33000000	0.533932	0.466068
Chr1A_a	33000000	33500000	0.541928	0.458072
Chr1A_a	33500000	34000000	0.518952	0.481048
Chr1A_a	34000000	34500000	0.541640	0.458160
Chr1A_a	34500000	35000000	0.520334	0.479666
Chr1A_a	35000000	35500000	0.521298	0.478702
Chr1A_a	35500000	36000000	0.551238	0.448762
Chr1A_a	36000000	36500000	0.541412	0.458588
Chr1A_a	36500000	37000000	0.511366	0.488634
Chr1A_a	37000000	37500000	0.529318	0.470682
Chr1A_a	37500000	38000000	0.516414	0.483586
Chr1A_a	38000000	38500000	0.548202	0.451798
Chr1A_a	38500000	39000000	0.537454	0.462546
Chr1A_a	39000000	39500000	0.558996	0.441004
Chr1A_a	39500000	40000000	0.549060	0.450940
Chr1A_a	40000000	40500000	0.556494	0.443506
Chr1A_a	40500000	41000000	0.531962	0.468038
Chr1A_a	41000000	41500000	0.544826	0.455174
Chr1A_a	41500000	42000000	0.517674	0.482326
Chr1A_a	42000000	42500000	0.532174	0.467826
Chr1A_a	42500000	43000000	0.538420	0.461580
Chr1A_a	43000000	43500000	0.538500	0.461500
Chr1A_a	43500000	44000000	0.539994	0.460006
Chr1A_a	44000000	44500000	0.506936	0.493064
