chr	start	stop	ATpct	GCpct
Pa1A	0	2000000	0.539935	0.459866
Pa1A	2000000	4000000	0.545912	0.454038
Pa1A	4000000	6000000	0.555846	0.444154
Pa1A	6000000	8000000	0.542499	0.457402
Pa1A	8000000	10000000	0.545801	0.454149
Pa1A	10000000	12000000	0.532573	0.467427
Pa1A	12000000	14000000	0.533888	0.466062
Pa1A	14000000	16000000	0.547507	0.452444
Pa1A	16000000	18000000	0.539967	0.460032
Pa1A	18000000	20000000	0.535961	0.464039
Pa1A	20000000	22000000	0.539926	0.460074
Pa1A	22000000	24000000	0.536938	0.463062
Pa1A	24000000	26000000	0.544379	0.455621
Pa1A	26000000	28000000	0.540780	0.459220
Pa1A	28000000	30000000	0.538610	0.461390
Pa1A	30000000	32000000	0.540608	0.459392
Pa1A	32000000	34000000	0.533001	0.467000
Pa1A	34000000	36000000	0.533628	0.466323
Pa1A	36000000	38000000	0.524628	0.475372
Pa1A	38000000	40000000	0.548428	0.451572
Pa1A	40000000	42000000	0.537739	0.462261
Pa1A	42000000	44000000	0.537272	0.462728
Pa1A	44000000	46000000	0.529750	0.470250
Pa1A	46000000	48000000	0.545878	0.454123
Pa1A	48000000	50000000	0.550975	0.449025
Pa1A	50000000	52000000	0.539465	0.460535
Pa1A	52000000	54000000	0.544644	0.455355
Pa1A	54000000	56000000	0.542042	0.457958
Pa1A	56000000	58000000	0.532763	0.467236
Pa1A	58000000	60000000	0.557731	0.442269
Pa1A	60000000	62000000	0.538274	0.461726
Pa1A	62000000	64000000	0.544532	0.455467
Pa1A	64000000	66000000	0.544060	0.455940
Pa1A	66000000	68000000	0.554451	0.445549
Pa1A	68000000	70000000	0.547067	0.452933
Pa1A	70000000	72000000	0.552555	0.447445
Pa1A	72000000	74000000	0.557627	0.442373
Pa1A	74000000	76000000	0.545680	0.454320
Pa1A	76000000	78000000	0.555826	0.444174
Pa1A	78000000	80000000	0.550130	0.449870
Pa1A	80000000	82000000	0.587020	0.412980
Pa1A	82000000	84000000	0.571284	0.428716
Pa1A	84000000	86000000	0.531224	0.468776
Pa1A	86000000	88000000	0.555951	0.444049
Pa1A	88000000	90000000	0.555932	0.444068
Pa1A	90000000	92000000	0.559560	0.440441
